year,ais_ag_dimitrios_1,ais_ag_dimitrios_2,ais_ag_dimitrios_3,ais_ag_dimitrios_4,ais_ag_dimitrios_5,ais_amintaio_1,ais_amintaio_2,ais_kardia_1,ais_kardia_2,ais_kardia_3,ais_kardia_4,ais_megalopoli_3,ais_megalopoli_4,ais_melitis_1,ais_ptolemaida_3,ais_ptolemaida_4,ais_ptolemaida_5_lig,ais_ptolemaida_5_gas,ais_lavrio_4,ais_lavrio_5,ais_komotini_1,ais_aliveri_5,iron_voiotia,korinthos_power,elpedison_thisvi,elpedison_thessaloniki,protergia_cc,alouminio,iron_thermoilektriki_1,iron_thermoilektriki_2,iron_thermoilektriki_3,mytilineos_ccgt_800,new_ccgt1_600,new_ccgt1_400
2039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
