plant,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,
yis_polifitou,2341.722994,14783.67228,36241.55591,26618.96624,11307.85478,15641.68012,18852.44105,17679.23984,8274.243892,2354.758563,1863.417883,5564.851002,,2810.067592,17740.40674,43489.8671,31942.75949,13569.42574,18770.01615,22622.92926,21215.0878,9929.09267,2825.710275,2236.10146,6677.821202
yis_pournariou_1,22213.74733,13682.54585,25541.02054,7377.843352,5714.475032,3755.992979,2226.767266,2293.838569,3836.478543,3273.079596,4547.434357,6143.731373,,26656.4968,16419.05502,30649.22465,8853.412022,6857.370039,4507.191575,2672.120719,2752.606283,4603.774252,3927.695515,5456.921228,7372.477648
yis_pournariou_2,3104.596482,2052.381878,3753.041842,1088.433108,840.2692865,442.9388863,129.0451874,159.6297016,555.3503905,490.9619394,662.3961904,921.5597059,,3725.515779,2462.858253,4503.65021,1306.11973,1008.323144,531.5266636,154.8542248,191.5556419,666.4204686,589.1543273,794.8754285,1105.871647
yis_stratou_1,11952.525,14582.5787,15109.83492,11979.51056,2397.562761,3248.645646,4343.63643,4229.466775,3425.089658,3167.896562,3120.360469,4110.10759,,14343.03,17499.09444,18131.80191,14375.41267,2877.075313,3898.374775,5212.363717,5075.36013,4110.10759,3801.475875,3744.432563,4932.129108
yis_sfikias,2000.124235,7159.20137,16408.10473,11959.63323,5507.3608,6499.066784,8198.70444,7981.444956,3747.224733,1788.881168,2549.957853,4711.856843,,2400.149082,8591.041644,19689.72568,14351.55988,6608.83296,7798.88014,9838.445328,9577.733947,4496.66968,2146.657401,3059.949423,5654.228211
yis_ilarionas,1120.595155,4918.908454,11474.13829,8392.872834,3755.024554,4881.446891,5994.242652,5721.743816,2777.387252,1161.616238,1111.303226,2341.348457,,1344.714186,5902.690144,13768.96595,10071.4474,4506.029465,5857.736269,7193.091183,6866.092579,3332.864702,1393.939485,1333.563871,2809.618148
yis_mesochoras,12749.36,15554.75061,16117.15725,12778.14459,2557.400278,3465.222022,4633.212192,4511.431227,3653.428969,3379.089666,3328.384501,4384.114763,,15299.232,18665.70073,19340.5887,15333.77351,3068.880334,4158.266427,5559.854631,5413.717472,4384.114763,4054.9076,3994.061401,5260.937715
yis_metsovitiko,2679.56244,1771.401026,3239.232542,939.4214328,725.2324199,382.2984435,111.3782867,137.7756353,479.3202775,423.746912,571.7109977,795.3937938,,3215.474928,2125.681231,3887.07905,1127.305719,870.2789038,458.7581323,133.653944,165.3307624,575.184333,508.4962944,686.0531972,954.4725526
yis_avlaki,4781.010001,5833.031479,6043.933969,4791.804223,959.0251044,1299.458258,1737.454572,1691.78671,1370.035863,1267.158625,1248.144188,1644.043036,,5737.212001,6999.637775,7252.720763,5750.165067,1150.830125,1559.34991,2084.945487,2030.144052,1644.043036,1520.59035,1497.773025,1972.851643
yis_pyrgou,18086.78281,21945.85324,23184.29319,19007.12395,4564.645846,6699.541557,8834.271244,8910.648528,6376.993631,4659.258348,4380.037052,5688.371405,,21704.13938,26335.02388,27821.15183,22808.54874,5477.575015,8039.449869,10601.12549,10692.77823,7652.392358,5591.110018,5256.044463,6826.045686
yis_ag_georgiou,30418.68019,36908.93499,38991.76582,31966.52665,7676.904377,11267.4108,14857.638,14986.09071,10724.94383,7836.025404,7366.425952,9566.806454,,36502.41623,44290.72199,46790.11898,38359.83198,9212.285252,13520.89296,17829.1656,17983.30885,12869.9326,9403.230485,8839.711142,11480.16774
myhe_louros,1046.877326,692.0680558,1265.534645,367.0222356,283.340804,149.3600471,43.51434443,53.82751545,187.2654739,165.5535349,223.3615725,310.752127,,1256.252791,830.481667,1518.641574,440.4266827,340.0089648,179.2320565,52.21721331,64.59301854,224.7185687,198.6642419,268.033887,372.9025524
myhe_stratos2,444.6339301,542.4719275,562.0858592,445.6377927,89.18933471,120.849618,161.5832752,157.336164,127.4133353,117.8457521,116.0774095,152.8960024,,533.5607161,650.966313,674.503031,534.7653513,107.0272016,145.0195416,193.8999303,188.8033968,152.8960024,141.4149025,139.2928914,183.4752028
myhe_gkiwnas,609.5787751,743.7115136,770.6015811,610.9550384,122.2757008,165.6809279,221.525458,215.7028055,174.6795726,161.5627247,159.1383839,209.6154871,,731.4945301,892.4538163,924.7218973,733.1460461,146.730841,198.8171135,265.8305495,258.8433666,209.6154871,193.8752696,190.9660607,251.5385845
myhe_glafkos,265.346055,323.7332471,335.4383353,265.9451344,53.22589329,72.11993333,96.42872876,93.89416241,76.03699042,70.32730368,69.27200242,91.2443885,,318.4152661,388.4798965,402.5260024,319.1341612,63.87107195,86.54392,115.7144745,112.6729949,91.2443885,84.39276442,83.12640291,109.4932662
myhe_makrohori,68.57568807,245.4583327,562.5635908,410.044568,188.8237989,222.8251469,281.0984379,273.6495413,128.4762766,61.33306861,87.42712639,161.5493775,,82.29082568,294.5499992,675.076309,492.0534816,226.5885586,267.3901762,337.3181255,328.3794496,154.1715319,73.59968233,104.9125517,193.859253
myhe_vermio,9.524401121,34.0914351,78.13383206,56.95063444,26.22552762,30.94793706,39.04144972,38.00688074,17.8439273,8.518481751,12.14265644,22.43741354,,11.42928135,40.90972211,93.76059847,68.34076133,31.47063314,37.13752448,46.84973966,45.60825689,21.41271276,10.2221781,14.57118773,26.92489624
